"date","vwretd","vwretx","prices","dividends","vwretd_quarterly","vwretx_quarterly","dividends_quarterly","vwretd_annual","vwretx_annual","dividends_annual","pd_ratio_quarterly","pd_ratio_annual","b1ret","b1ind","t30ret","t30ind","cpiret","cpiind","infl_annualized","lag_infl_annualized","tbill_annualized","exp_inflation","real_rf","dividend_growth_quarterly"
1926-03-31,-0.057708,-0.062007,0.898873764135015,0.00411970911511752,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.84357,0.008521,39.24238,-0.005587,41.9,-0.0221614091948388,NA,0.0345221246698595,NA,NA,NA
1926-06-30,0.056427,0.050196,0.985757933708326,0.00584867747062127,0.103165595374973,0.096658922576208,NA,NA,NA,NA,NA,NA,NA,39.84357,0.006886,39.51262,-0.005618,41.6,-0.0222833367194011,-0.0221614091948388,0.0278298102781092,0.0042855840761167,0.0235442262019925,NA
1926-09-30,0.01342,0.009122,1.05930701723114,0.0045117454183532,0.0791886387842764,0.0746117084202667,NA,NA,NA,NA,NA,NA,NA,39.84357,0.007069,39.79192,-0.011299,41.2,-0.0444357493508901,-0.0222833367194011,0.0285772400363149,0.00422508360501427,0.0243521564313006,NA
1926-12-31,0.026047,0.020321,1.06603102317639,0.00598252279303083,0.0119951331687558,0.00634755159352163,0.0512803924259184,NA,NA,NA,20.7882774047882,NA,NA,39.84357,0.009093,40.15375,0.011428,41.6,0.0465015821100458,-0.0444357493508901,0.03687111006373,-0.00676694961366782,0.0436380596773978,NA
1927-03-31,0.007324,0.00261,1.10596604592102,0.00519995206558053,0.0423392695230627,0.0374614076667665,0.0537008750777413,NA,NA,NA,20.5949352653927,NA,NA,39.84357,0.008013,40.47551,-0.022598,40.7,-0.0873738820394003,0.0465015821100458,0.0324393111369219,0.0383561791789057,-0.0059168680419838,0.0461208318622844
1927-06-30,-0.02037,-0.025705,1.15148398220621,0.00630524332473239,0.0468578396245134,0.0411567212692192,0.0548424364812622,NA,NA,NA,20.9962221973788,NA,NA,39.84357,0.008159,40.80574,0.01734,41.4,0.0711849988654321,-0.0873738820394003,0.0330375926725239,-0.0280728628210347,0.0611104554935587,0.0210349855572911
1927-09-30,0.053016,0.049095,1.34409814474342,0.00502357634488673,0.171637419135803,0.167274721588537,0.0580114461370241,NA,NA,NA,23.1695335015203,NA,NA,39.84357,0.007864,41.12664,-0.017045,40.7,-0.0664565319146069,0.0711849988654321,0.0318290041180489,0.0506040973374951,-0.0187750932194462,0.0561760556518722
1927-12-31,0.019295,0.014403,1.38004138479426,0.00665530608092987,0.0316930324607358,0.0267415293975424,0.0594496401304596,0.300803316908477,0.294560247113848,0.0594496401304596,23.2136204990613,23.2136204990613,NA,39.84357,0.006852,41.40843,0,40.7,0,-0.0664565319146069,0.0276909884312626,-0.0176936679566477,0.0453846563879103,0.0244892315379865
1928-03-31,0.105752,0.101652,1.4812141409264,0.00551261013259926,0.0773059180979938,0.0733113928661138,0.0600953452773769,NA,NA,NA,24.6477349300464,NA,NA,39.84357,0.008479,41.75952,-0.011561,40.2,-0.045448222631287,0,0.0343498041526114,0.0152820813919985,0.0190677227606129,0.0108028191100309
1928-06-30,-0.03433,-0.038725,1.48134908332578,0.00677280613894755,0.00466357182763932,9.11025594809711e-05,0.0628246409175026,NA,NA,NA,23.5791094336854,NA,NA,39.84357,0.008289,42.10564,0,40.2,0,-0.045448222631287,0.0335705279132896,-0.0072693391328722,0.0408398670461618,0.0444149789003655
1928-09-29,0.022409,0.019937,1.62319318846893,0.00393409942172426,0.0984090827785049,0.0957533283273719,0.0624726069366653,NA,NA,NA,25.9824788505227,NA,NA,39.84357,0.009193,42.49272,0.011696,40.7,0.0476111970927853,0,0.0372821822837994,0.0152820813919985,0.022000100891801,-0.00561919616217945
1928-12-31,0.006232,0.002888,1.83977550782597,0.00613449288272474,0.137209060401399,0.133429785743087,0.0642288927118321,0.337575830005922,0.333130678613857,0.0642288927118321,28.6440483425468,28.6440483425468,NA,39.84357,0.011749,42.99195,-0.01156,40.2,-0.0454443597597251,0.0476111970927853,0.0478307403416569,0.0389067704374344,0.00892396990422249,0.027724980045357
1929-03-28,0.000154,-0.003213,1.91708841295132,0.00647564292713197,0.0455428109006033,0.0420230103055927,0.0658750501340486,NA,NA,NA,29.1018892441107,NA,NA,39.84357,0.010306,43.43502,-0.005848,40,-0.0231876041918619,-0.0454443597597251,0.0418656716482666,-0.00726742237494452,0.0491330940232111,0.0253066162117588
1929-06-29,0.112294,0.109584,2.0661046540455,0.00504616469998065,0.0803627024989357,0.077730500110204,0.0656201832880284,NA,NA,NA,31.4858104704874,NA,NA,39.84357,0.013205,44.00861,0.005882,40.2,0.0237364027609719,-0.0231876041918619,0.0538754728859632,0.00377638583736189,0.0500990870486013,-0.00387644720711318
